raw,specialization,specialization_norm,specialization_score,normalize,r/n_score,standardize,s/n_score
Đại học Khoa học Xã hội và Nhân văn - DHQG Hà Nội,Khoa : Quản trị Dịch vụ Du lịch và Lữ hành,khoa : quan tri dich vu du lich lu hanh,37,dai hoc khoa hoc xa hoi nhan van dai hoc quoc gia ha noi,50,dai hoc khoa hoc xa hoi nhan van dai hoc quoc gia ha noi,100
Đại học văn hóa TP.HCM,Việt Nam học,viet nam hoc,42,dai hoc van hoa hcm,64,dai hoc van hoa   hcm,95
dai hoc giao thong,xay dung,xay dung,31,dai hoc giao thong,100,None,-1
tu do,tu do,tu do,100,tu do,100,None,-1
Đại học Kinh tế - Kĩ thuật Bình Dương,Công nghệ Hoá học,cong nghe hoa hoc,23,dai hoc kinh te ki thuat binh duong,61,None,-1
Đại hoc Kiến Trúc Hồ Chí Minh,Nội Thất,noi that,28,dai hoc kien truc hcm,52,dai hoc kien truc   hcm,95
cao đẳng y tế,dược,duoc,12,cao dang y te,77,None,-1
Đại học Hòa Bình,Tài Chính - Ngân hàng,tai chinh ngan hang,38,dai hoc hoa binh,56,dai hoc hoa binh,100
đại học khoa học xã hội và nhân văn,Ấn Độ học ,an do hoc,24,dai hoc khoa hoc xa hoi nhan van,72,None,-1
đại học kinh doanh va công nghệ,Tài Chính,tai chinh,27,dai hoc kinh doanh cong nghe,78,None,-1
Đại học FPT,Quản trị kinh doanh - chuyên ngành Tài chính,quan tri kinh doanh chuyen nganh tai chinh,18,dai hoc fpt,45,dai hoc fpt,100
Đại học Mở ,Luật kinh tế - Hệ từ xa,luat kinh te he tu xa,18,dai hoc mo,48,None,-1
đại học công nghiệp hà nội,công nghệ chế tạo máy,cong nghe che tao may,43,dai hoc cong nghiep ha noi,77,dai hoc cong nghiep ha noi,100
Đại Học Thủ Dầu Một,Ngôn ngữ Anh,ngon ngu anh,19,dai hoc thu dau mot,47,dai hoc thu dau mot,100
dai hoc khoa hoc xa hoi va nhan van,văn chương anh,van chuong anh,30,dai hoc khoa hoc xa hoi nhan van,96,None,-1
Đại học tài chính marketting,quản trị kinh doanh,quan tri kinh doanh,38,dai hoc tai chinh marketting,82,dai hoc tai chinh   marketing,95
thpt nguyễn hữu thọ,.,,0,thpt nguyen huu tho,84,None,-1
Đại học Công nghiệp Tp.HCM,Công nghệ kỹ thuật môi trường,cong nghe ky thuat moi truong,35,dai hoc cong nghiep hcm,57,dai hoc cong nghiep   hcm,96
An Thuợng,THCS,thcs,0,an thuong,67,None,-1
Học viện Báo chí và Tuyên truyền,Quản lý kinh tế,quan ly kinh te,32,hoc vien bao chi tuyen truyen,66,hoc vien bao chi tuyen truyen,100
trung cap kinh te Gia Dinh,buu chinh vien thong,buu chinh vien thong,43,trung cap kinh te gia dinh,92,None,-1
Đại học Quy Nhơn,Quản trị kinh doanh,quan tri kinh doanh,34,dai hoc quy nhon,62,dai hoc quy nhon,100
Trường cao đẳng quân y 1,Dược,duoc,10,cao dang quan y 1,68,cao dang quan y 1,100
ĐẠI HỌC CÔNG NGHỆ TPHCM,Kế toán doanh nghiệp,ke toan doanh nghiep,44,dai hoc cong nghe hcm,18,dai hoc cong nghe   hcm,95
Hutech,Network,network,15,hutech,83,None,-1
ĐH Công Nghiệp TP HCM,Công nghệ Hoá Học,cong nghe hoa hoc,40,dai hoc cong nghiep hcm,41,dai hoc cong nghiep   hcm,96
Đại học tài nguyên môi trường,Quản Lý môi trường,quan ly moi truong,43,dai hoc tai nguyen moi truong,72,None,-1
trường cao đẳng du lịch Hà Nội,quản trị chế biến món ăn,quan tri che bien mon an,34,cao dang du lich ha noi,60,cao dang du lich ha noi,100
Cao đẳng kinh tế Công nghiệp Hà Nội,Kế toán,ke toan,19,cao dang kinh te cong nghiep ha noi,69,cao dang kinh te cong nghiep ha noi,100
ĐH Công Nghiệp TPHCM,Kế toán kiểm toán,ke toan kiem toan,30,dai hoc cong nghiep hcm,42,dai hoc cong nghiep   hcm,96
Đại học giao thông vận tải,Kỹ thuật viễn thông,ky thuat vien thong,40,dai hoc giao thong van tai,77,dai hoc giao thong van tai,100
Đại học Kinh tế Quốc dân,Kế toán,ke toan,26,dai hoc kinh te quoc dan,67,dai hoc kinh te quoc dan,100
Cao đẳng Thương mại và du lịch Hà Nội,Quản trị kinh doanh,quan tri kinh doanh,34,cao dang thuong mai du lich ha noi,62,cao dang thuong mai du lich ha noi,100
đại học mỏ địa chất,khai thác mỏ lộ thiên,khai thac mo lo thien,50,dai hoc mo dia chat,63,dai hoc mo   dia chat,95
Đại học Lao động xã hội,Kế toán ,ke toan,26,dai hoc lao dong xa hoi,65,dai hoc lao dong   xa hoi,96
trường quân đoàn 1,lái xe,lai xe,12,quan doan 1,55,None,-1
Đại học Lâm nghiệp,Quản trị kinh doanh,quan tri kinh doanh,32,dai hoc lam nghiep,67,dai hoc lam nghiep,100
Học viện Hitachi - Tokyo - Nhật Bản,Tiếng Nhật và Văn hoá Nhật Bản,tieng nhat van hoa nhat ban,39,hoc vien hitachi tokyo nhat ban,67,None,-1
Đại học Vinh,xây dựng dân dụng và công nghiệp,xay dung dan dung cong nghiep,27,dai hoc vinh,67,dai hoc vinh,100
Quản lý nhà hàng khách sạn Việt Úc,bartender,bartender,14,quan ly nha hang khach san viet uc,71,None,-1
cao dang nghe,oto xe mau,oto xe mau,26,cao dang nghe,100,None,-1
Đại Học CNTT Gia Định,Công nghệ thông tin,cong nghe thong tin,40,dai hoc cntt gia dinh,48,None,-1
trường cao đẳng nghề kỹ thuật công nghệ TPHCM,Điện công nghiệp,dien cong nghiep,35,cao dang nghe ky thuat cong nghe hcm,64,None,-1
Trường ĐH Công nghệ sài gòn,Điện tử viễn thông,dien tu vien thong,33,dai hoc cong nghe sai gon,54,dai hoc cong nghe sai gon,100
Đh công nghệ sài gòn,điện tử viễn thông,dien tu vien thong,33,dai hoc cong nghe sai gon,67,dai hoc cong nghe sai gon,100
đại học công nghiệp Tp HCM,Tự Động Hóa,tu dong hoa,24,dai hoc cong nghiep hcm,61,dai hoc cong nghiep   hcm,96
Troy International University,Business Administration,business administration,38,troy international university,90,None,-1
thpt kim bôi,không,khong,12,thpt kim boi,92,None,-1
học viện ngân hàng,hệ thống thông tin quản lý,he thong thong tin quan ly,41,hoc vien ngan hang,78,hoc vien ngan hang,100
Trường đại học kinh tế kỹ thuật công nghiệp,kế toán,ke toan,23,dai hoc kinh te ky thuat cong nghiep,71,dai hoc kinh te   ky thuat cong nghiep,97
Đại Học Hùng Vương Tp.HCM,kế toán,ke toan,21,dai hoc hung vuong hcm,43,dai hoc hung vuong   hcm,96
herfordshire,du lich khach san,du lich khach san,14,herfordshire,100,None,-1
ĐH Hoa Sen,Kế Toán,ke toan,27,dai hoc hoa sen,48,dai hoc hoa sen,100
Trung Cấp Miền Đông,Sư Phạm Tiểu Học,su pham tieu hoc,23,trung cap mien dong,63,None,-1
mạch kiếm hùng,mạch kiếm hùng,mach kiem hung,79,mach kiem hung,79,None,-1
Đại học Kinh tế Tp.Hồ Chí Minh,Tài chính Ngân hàng,tai chinh ngan hang,42,dai hoc kinh te hcm,49,dai hoc kinh te   hcm,95
Đại học Lạc Hồng,Tài chính Ngân hang,tai chinh ngan hang,46,dai hoc lac hong,56,dai hoc lac hong,100
Học viện nông nghiệp Việt Nam,Công nghệ thực phẩm,cong nghe thuc pham,42,hoc vien nong nghiep viet nam,72,hoc vien nong nghiep viet nam,100
Đại học Hà Nội,Ngôn ngữ Pháp,ngon ngu phap,22,dai hoc ha noi,50,dai hoc ha noi,100
đh điện lực,điện tử viễn thông,dien tu vien thong,35,dai hoc dien luc,52,dai hoc dien luc,100
Đại Học Điện Lực,Kế toán ,ke toan,33,dai hoc dien luc,50,dai hoc dien luc,100
ĐH Kinh Doanh và Công Nghệ Hà Nội,Quản trị kinh doanh,quan tri kinh doanh,44,dai hoc kinh doanh cong nghe ha noi,53,dai hoc kinh doanh cong nghe ha noi,100
Truong Dai Hoc Hang Hai Viet Nam,Kinh Te Van Tai Bien,kinh te van tai bien,53,dai hoc hang hai viet nam,67,dai hoc hang hai viet nam,100
Cao đẳng Công nghệ Thủ Đức,Công nghệ thông tin,cong nghe thong tin,44,cao dang cong nghe thu duc,62,cao dang cong nghe thu duc,100
Cao Đẳng Kinh Tế Đối Ngoại,Quản Trị Kinh Doanh Thương Mại,quan tri kinh doanh thuong mai,39,cao dang kinh te doi ngoai,62,cao dang kinh te doi ngoai,100
THPT Nguyễn Hiền,Cấp 3,cap 3,19,thpt nguyen hien,50,None,-1
trung cấp nghề trần đại nghĩa,cơ khí,co khi,17,trung cap nghe tran dai nghia,79,None,-1
Đại học Công nghiệp thực phẩm tphcm,Công nghệ thực phẩm,cong nghe thuc pham,54,dai hoc cong nghiep thuc pham hcm,74,None,-1
Đại học Văn Hóa Hồ Chí Minh,Thư viện thông tin,thu vien thong tin,38,dai hoc van hoa hcm,43,dai hoc van hoa   hcm,95
cao đẳng công nghệ đông á,kế toán,ke toan,19,cao dang cong nghe dong a,72,None,-1
thcs lê minh xuân,thcs le minh xuân,thcs le minh xuan,94,thcs le minh xuan,88,None,-1
THPT Lê Thánh Tôn,Phổ thông,pho thong,38,thpt le thanh ton,41,None,-1
THPT TT Trương Vĩnh Ký,Cấp III,cap 3,13,thpt tt truong vinh ky,48,None,-1
Trường đào tạo kinh tế quốc doanh,Quản lý tòa nhà,quan ly toa nha,36,dao tao kinh te quoc doanh,72,None,-1
Đại Học Tôn Đức Thắng,Kế Toán - Kiểm Toán,ke toan kiem toan,30,dai hoc ton duc thang,52,dai hoc ton duc thang,100
Trường Đại Học kỹ thuật công nghiệp Thái Nguyên,Kỹ thuật cơ khí,ky thuat co khi,33,dai hoc ky thuat cong nghiep thai nguyen,64,dai hoc ky thuat cong nghiep thai nguyen,100
Guangxi University for Nationalities  - China,International trade,international trade,43,guangxi university for nationalities china,87,None,-1
trường cao đẳng kinh tế tphcm,trung cấp kế toán,trung cap ke toan,32,cao dang kinh te hcm,69,cao dang kinh te   hcm,95
Đại học Sư phạm Kĩ thuật Hưng Yên,Công nghệ phần mềm,cong nghe phan mem,27,dai hoc su pham ki thuat hung yen,61,dai hoc su pham ky thuat hung yen,97
cao đẳng tài chính quản trị kinh doanh,kế toán,ke toan,18,cao dang tai chinh quan tri kinh doanh,84,None,-1
Cao đẳng Công nghệ thông tin TPHCM,Quản trị kinh doanh,quan tri kinh doanh,35,cao dang cong nghe thong tin hcm,67,cao dang cong nghe thong tin   hcm,97
trường phổ thông trung học hồ thị kỷ,học lớp 10,hoc lop 10,21,pho thong trung hoc ho thi ky,71,None,-1
ĐH Nông Lâm TpHCM,"Bảo quản, chế biến nông sản thực phẩm và dinh dưỡng người",bao quan che bien nong san thuc pham dinh duong nguoi,29,dai hoc nong lam hcm,32,dai hoc nong lam   hcm,95
Học Viện Hàng Không Việt Nam,Quản trị kinh doanh,quan tri kinh doanh,30,hoc vien hang khong viet nam,61,hoc vien hang khong viet nam,100
thptnghison,phothongtrunghoc,phothongtrunghoc,52,thptnghison,100,None,-1
Đại Học Công Nghệ Tp. Hồ Chí Minh,Ngôn Ngữ Anh,ngon ngu anh,30,dai hoc cong nghe hcm,41,dai hoc cong nghe   hcm,95
Montpellier 3,ngôn ngữ,ngon ngu,21,monellier 3,83,None,-1
dh su pham tphcm,cntt,cntt,9,dai hoc su pham hcm,80,dai hoc su pham   hcm,95
Đại học Quốc tế Hồng Bàng,Quản lí đô thị,quan li do thi,26,dai hoc quoc te hong bang,60,dai hoc quoc te hong bang,100
Cao Đẳng Việt Mỹ,Quản Trị Khách Sạn,quan tri khach san,18,cao dang viet my,56,cao dang viet my,100
Đại học Luật Thành phố Hồ Chí Minh,Luật Thương Mại,luat thuong mai,26,dai hoc luat hcm,36,None,-1
Đại Học Ngoại Thương,Kinh Tế Đối Ngoại,kinh te doi ngoai,32,dai hoc ngoai thuong,55,dai hoc ngoai thuong,100
trường Cao dang nghe ky thuat công nghệ tp.HCM,may cong nghiep,may cong nghiep,47,cao dang nghe ky thuat cong nghe hcm,73,None,-1
Trường ĐH Quốc tế Hồng Bàng,Tài chính ngân hàng,tai chinh ngan hang,41,dai hoc quoc te hong bang,46,dai hoc quoc te hong bang,100
CD Nghề Kỹ Thuật Công nghệ Tp.Hcm,May cobg nghe,may cobg nghe,45,cao dang nghe ky thuat cong nghe hcm,52,None,-1
Đại học ngoại ngữ huế,ngôn ngữ và văn hóa nhật bản,ngon ngu van hoa nhat ban,29,dai hoc ngoai ngu hue,71,dai hoc ngoai ngu hue,100
Đại học công nghiệp 4,kế toán-kiểm toán,ke toan kiem toan,26,dai hoc cong nghiep 4,76,None,-1
đại học công nghiệpbtp. hồ chí minh,kế toán kiểm toán,ke toan kiem toan,29,dai hoc cong nghiepb hcm,64,None,-1
RMIT UNIVERSITY,Bachelor of Fashion Merchandising,bachelor of fashion merchandising,29,rmit university,7,None,-1
Đại Học Khoa học xã hội& Nhân văn,Văn học- Hán Nôm,van hoc han nom,25,dai hoc khoa hoc xa hoi nhan van,65,None,-1
Linfield Christian high school (US),high school,high school,54,linfield christian high school,86,None,-1
cao đẳng kỹ thuật công nghệ Vạn XUân,kế toán,ke toan,23,cao dang ky thuat cong nghe van xuan,69,cao dang ky thuat cong nghe van xuan,100
Đại học Hà Nội- Trung tâm ngoại ngữ  ABC,Tiếng Anh Ielts- Toeic ,tieng anh ielts toeic,33,dai hoc ha noi trung tam ngoai ngu abc,62,None,-1
Trường trung cấp Công nghệ Hà Nội,Nghiệp vụ Hướng dẫn viên Du Lịch,nghiep vu huong dan vien du lich,31,trung cap cong nghe ha noi,61,None,-1
Southern New Hamsphire University,Economics - Finance,economics finance,27,southern new hamsphire university,88,None,-1
Đại học Ngân Hàng TPHCM,Kế toán - Kiểm Toán,ke toan kiem toan,30,dai hoc ngan hang hcm,50,dai hoc ngan hang   hcm,95
DH KHXH&NV,international relations,international relations,33,dai hoc khoa hoc xa hoi nv,6,None,-1
Thpt Nguyễn Trung Trực,THPT,thpt,0,thpt nguyen trung truc,73,None,-1
lý tự trọng,thpt,thpt,27,ly tu trong,73,None,-1
Đại học GTVT Hà Nội,Xây dựng cầu đường bộ,xay dung cau duong bo,26,dai hoc giao thong van tai ha noi,31,None,-1
Đại học mỏ địa chất,Máy và thiết bị công nghiệp,may thiet bi cong nghiep,26,dai hoc mo dia chat,63,dai hoc mo   dia chat,95
cao đẳng gtvt miền trung,trắc địa công trình,trac dia cong trinh,35,cao dang giao thong van tai mien trung,68,None,-1
Đại học bách khoa thành phố Hồ Chí Minh,Công nghệ Hóa,cong nghe hoa,24,dai hoc bach khoa hcm,50,None,-1
Cao đẳng GTVT,Kỹ thuật xây dựng cầu đường,ky thuat xay dung cau duong,30,cao dang giao thong van tai,30,None,-1
Trung Cấp Kinh Tế Kỹ Thuật Phương Nam,Quản trị kinh doanh,quan tri kinh doanh,39,trung cap kinh te ky thuat phuong nam,62,None,-1
Đại học Văn Lang,Tài chính ngân hàng,tai chinh ngan hang,46,dai hoc van lang,62,dai hoc van lang,100
cao đẳng tài chính hải quan,kế toán,ke toan,18,cao dang tai chinh hai quan,81,None,-1
Đại học Công Nghệ TP.HCM,Quản trị kinh doanh,quan tri kinh doanh,30,dai hoc cong nghe hcm,49,dai hoc cong nghe   hcm,95
đại học Hàng Hải Việt Nam,Thiết kế tàu thuỷ,thiet ke tau thuy,24,dai hoc hang hai viet nam,60,dai hoc hang hai viet nam,100
Hutech,QTKD,qtkd,0,hutech,83,None,-1
trường đại học bách khoa Tp HCM,Công Nghệ Sinh học,cong nghe sinh hoc,36,dai hoc bach khoa hcm,54,None,-1
Trường Đại học Công nghiệp Tp. Hồ Chí Minh,Quản trị kinh doanh,quan tri kinh doanh,29,dai hoc cong nghiep hcm,46,dai hoc cong nghiep   hcm,96
Đại Học Công Đoàn,Quản Trị Nhân Lực,quan tri nhan luc,24,dai hoc cong doan,53,dai hoc cong doan,100
Đại học Luật tp hcm,quản trị kinh doanh,quan tri kinh doanh,29,dai hoc luat hcm,63,None,-1
Cao Đẳng Điện Lực TPHCM,Hệ Thống Điện,he thong dien,35,cao dang dien luc hcm,50,cao dang dien luc   hcm,95
Trường đại học Công nghiệp thực phẩm TP.HCM,Tài chính kế toán,tai chinh ke toan,28,dai hoc cong nghiep thuc pham hcm,58,None,-1
Ton Duc Thang University,Biotechnology,biotechnology,32,ton duc thang university,83,None,-1
cao đẳng cộng đồng hà nội,công nghệ kỹ thuật xây dựng,cong nghe ky thuat xay dung,42,cao dang cong dong ha noi,72,cao dang cong dong ha noi,100
Đại Học Công Nghiệp TP HCM,Kế toán,ke toan,20,dai hoc cong nghiep hcm,49,dai hoc cong nghiep   hcm,96
Đại Học Sài Gòn,Tài chính Ngân Hàng,tai chinh ngan hang,35,dai hoc sai gon,47,dai hoc sai gon,100
THPT Nguyễn Thị Minh Khai,Khối A,khoi a,19,thpt nguyen thi minh khai,60,None,-1
Đại học Tôn Đức Thắng,Điện tử- Viễn thông,dien tu vien thong,45,dai hoc ton duc thang,57,dai hoc ton duc thang,100
cao đằng giao thông vận tải,xây dựng cầu đg,xay dung cau dg,33,cao dang giao thong van tai,81,None,-1
học viện nông nghiệp việt nam,quản lý đất đai,quan ly dat dai,27,hoc vien nong nghiep viet nam,83,hoc vien nong nghiep viet nam,100
Đại Học Sư Phạm Kỹ Thuật TP Hồ Chí Minh,Công Nghệ Kỹ Thuật Máy Tính,cong nghe ky thuat may tinh,33,dai hoc su pham ky thuat hcm,42,dai hoc su pham ky thuat   hcm,97
đại học ky thuật kinh tế bình dương,kế toán ,ke toan,23,dai hoc ky thuat kinh te binh duong,77,None,-1
Truong Dai Hoc Cong Nghiep Tp.HCM,Cong nghe May,cong nghe may,50,dai hoc cong nghiep hcm,57,dai hoc cong nghiep   hcm,96
đại học hoa sen,ngoại thương,ngoai thuong,30,dai hoc hoa sen,80,dai hoc hoa sen,100
cao đẳng giao thông vận tải III,xây dưng,xay dung,22,cao dang giao thong van tai 3,77,None,-1
Đại học Khoa học xã hội và nhân văn,Tâm lý học,tam ly hoc,19,dai hoc khoa hoc xa hoi nhan van,69,None,-1
Trường Đại Học Điều Dưỡng Nam Định,Điều Dưỡng Đa Khoa,dieu duong da khoa,40,dai hoc dieu duong nam dinh,49,dai hoc dieu duong nam dinh,100
THPT ĐÀO DUY ANH,TRUNG HỌC,trung hoc,8,thpt dao duy anh,19,None,-1
trương trung hoc pho thong Nguyễn hữu cảnh,phổ thông,pho thong,32,trung hoc pho thong nguyen huu canh,81,None,-1
thcs long điền đông b,chinh quy,chinh quy,27,thcs long dien dong b,81,None,-1
Bolton university,Business Administration,business administration,30,bolton university,94,None,-1
Đại học Lao động Xã hội,quản trị nhân lực,quan tri nhan luc,20,dai hoc lao dong xa hoi,61,dai hoc lao dong   xa hoi,96
đại học ngân hàng tphcm,tài chính ngân hàng,tai chinh ngan hang,55,dai hoc ngan hang hcm,73,dai hoc ngan hang   hcm,95
Học viện Hành chính Quốc gia,Tổ chức và quản lý nhân sự,to chuc quan ly nhan su,37,hoc vien hanh chinh quoc gia,71,hoc vien hanh chinh quoc gia ,98
đại học kinh tế quốc dân,quản trị kinh doanh,quan tri kinh doanh,47,dai hoc kinh te quoc dan,75,dai hoc kinh te quoc dan,100
đại học luật hà nội,Luật,luat,17,dai hoc luat ha noi,68,dai hoc luat ha noi,100
Đại học Hoa Sen,kế toán,ke toan,33,dai hoc hoa sen,75,dai hoc hoa sen,100
Viện Đại Học Mở Hà Nội,Quản Trị Kinh Doanh,quan tri kinh doanh,42,vien dai hoc mo ha noi,52,None,-1
Viện đại học Mở Hà Nội,Quản trị Khách sạn,quan tri khach san,40,vien dai hoc mo ha noi,50,None,-1
Học viện Hành Chính Quốc Gia ,Chuyên ngành Thanh Tra,chuyen nganh thanh tra,44,hoc vien hanh chinh quoc gia,63,hoc vien hanh chinh quoc gia ,98
Đại Học Điện Lực ( hệ Cao Đẳng ) ,Hệ Thống Điện ,he thong dien,40,dai hoc dien luc,33,dai hoc dien luc,100
Đại học y Hà Nội,Bác sĩ y học dự phòng,bac si y hoc du phong,38,dai hoc y ha noi,56,dai hoc y ha noi,100
Cao Đẳng Viễn Đông,Tiếng Anh Thương Mại,tieng anh thuong mai,37,cao dang vien dong,61,cao dang vien dong,100
THPT LONG XUYÊN,Đã tốt nghiệp THPT,da tot nghiep thpt,36,thpt long xuyen,13,None,-1
đại học Kinh doanh và công nghệ Hà Nội,Ngân hàng,ngan hang,23,dai hoc kinh doanh cong nghe ha noi,68,dai hoc kinh doanh cong nghe ha noi,100
"trung cấp kinh tế du lịch  Hoa Sữa """"",nhà hàng,nha hang,18,"trung cap kinh te du lich hoa sua """"",82,None,-1
Trường Đại Học Tài Chính Marketing,Tài Chính Ngân Hàng,tai chinh ngan hang,35,dai hoc tai chinh marketing,59,dai hoc tai chinh   marketing,96
Trường THPT Phạm Thành Trung,phổ thông,pho thong,47,thpt pham thanh trung,49,None,-1
Trường Đại học Văn hoá - Nghệ thuật Quân đội,QUẢN LÝ TỔNG HỢP HOẠT ĐỘNG KINH TẾ XÃ HỘI,quan ly tong hop hoat dong kinh te xa hoi,18,dai hoc van hoa nghe thuat quan doi,56,dai hoc van hoa nghe thuat quan doi,100
Cao đẳng Kinh tế,Tiếng Anh Thương Mại,tieng anh thuong mai,33,cao dang kinh te,69,None,-1
Cao đẳng Kinh tế,Tiếng Anh Thương Mại,tieng anh thuong mai,33,cao dang kinh te,69,None,-1
FPT Arena Multimedia,Mỹ Thuật Đa Phương Tiện,my thuat da phuong tien,28,fpt arena multimedia,75,None,-1
đại học sư phạm hà nội,sư phạm ngữ vănpp,su pham ngu vanpp,41,dai hoc su pham ha noi,68,dai hoc su pham ha noi,100
học viện CSND,trinh sát,trinh sat,34,hoc vien canh sat nhan dan,36,hoc vien canh sat nhan dan,100
bách khoa,cntt,cntt,15,bach khoa,89,None,-1
Trung cap thu duc,do hoa,do hoa,17,trung cap thu duc,94,None,-1
Đại học Bách Khoa TP. HCM,Điện tử viễn thông,dien tu vien thong,26,dai hoc bach khoa hcm,52,None,-1
Cao đẳng Kinh Tế Công Nghệ TP.HCM,Quản trị Kinh doanh ,quan tri kinh doanh,40,cao dang kinh te cong nghe hcm,54,cao dang kinh te cong nghe   hcm,97
trường năng khiếu thể dục thể thao thành phố,Vật tự do,vat tu do,28,nang khieu the duc the thao,62,None,-1
THPT Phú Nhuận ,Trường Trung Cấp Nghề Việt Úc ,trung cap nghe viet uc,18,thpt phu nhuan,41,None,-1
trung học phổ thông chu văn an,tốt nghiệp phổ thông,tot nghiep pho thong,45,trung hoc pho thong chu van an,87,None,-1
ACCA,kiểm toán,kiem toan,0,acca,0,None,-1
ĐẠI HỌC KHOA HỌC THÁI NGUYÊN,Khoa học quản lý,khoa hoc quan ly,41,dai hoc khoa hoc thai nguyen,18,dai hoc khoa hoc thai nguyen,100
Đại học Công Nghiệp Hà Nội,Quản trị kinh doanh,quan tri kinh doanh,31,dai hoc cong nghiep ha noi,58,dai hoc cong nghiep ha noi,100
FPT-Aptech,CNTT,cntt,0,fpt aptech,50,None,-1
Đại học tổng hợp Hà Nội,Kinh tế,kinh te,27,dai hoc tong hop ha noi,61,None,-1
Đại Học Thương Mại,Tài chính doanh nghiệp thương mại,tai chinh doanh nghiep thuong mai,47,dai hoc thuong mai,50,dai hoc thuong mai,100
Giồng Ông Tố,Trung học phổ thông,trung hoc pho thong,32,giong ong to,58,None,-1
Học viện Ngân hàng,Kinh tế,kinh te,24,hoc vien ngan hang,67,hoc vien ngan hang,100
"Trường THCS & THPH Cấp ll, lll Hóa Tiến",Hs,hs,6,thcs thph cap ll lll hoa tien,44,None,-1
Đại Học Mở Thành Phố Hồ Chí Minh,Quản trị kinh doanh,quan tri kinh doanh,30,dai hoc mo hcm,26,None,-1
đại học công nghệ tphcm,ngôn ngữ nhật,ngon ngu nhat,41,dai hoc cong nghe hcm,73,dai hoc cong nghe   hcm,95
nguyen an ninh,trung hoc pho thong,trung hoc pho thong,30,nguyen an ninh,100,None,-1
THPT TUY PHƯỚC,tài xế lái xe,tai xe lai xe,22,thpt tuy phuoc,14,None,-1
hoc viện hàng không việt nam,an ninh soi chiếu hải quan,an ninh soi chieu hai quan,37,hoc vien hang khong viet nam,86,hoc vien hang khong viet nam,100
THPT Nguyễn Gia Thiều,Toán Lý Anh,toan ly anh,25,thpt nguyen gia thieu,57,None,-1
Đại học ngoại ngữ- Đại học quốc gia Hà Nội,Biên dịch Tiếng Anh,bien dich tieng anh,30,dai hoc ngoai ngu dai hoc quoc gia ha noi,67,dai hoc ngoai ngu dai hoc quoc gia ha noi,100
Đại học công nghệ sài gòn,Xây dựng dân dụng và công nghiệp,xay dung dan dung cong nghiep,39,dai hoc cong nghe sai gon,72,dai hoc cong nghe sai gon,100
trung học phổ thông,pho thong,pho thong,64,trung hoc pho thong,84,None,-1
Trung Cấp Kỹ Thuật Và Nghiệp Vụ Nam Sài Gòn,Bão trì và sửa chữa ô tô,bao tri sua chua o to,31,trung cap ky thuat nghiep vu nam sai gon,58,None,-1
trường Cao đẳng tài chính- Hải quan,ngành Thuế- hải quan,nganh thue hai quan,51,cao dang tai chinh hai quan,65,None,-1
Cao đẳng Công Thương TP. HCM,Điện- điện tử,dien dien tu,27,cao dang cong thuong hcm,50,cao dang cong thuong   hcm,96
đại học điện lực,quản trị kinh doanh ,quan tri kinh doanh,33,dai hoc dien luc,62,dai hoc dien luc,100
fpt university,tai chinh doanh nghiep,tai chinh doanh nghiep,28,fpt university,100,None,-1
thpt bình minh,trung hoc pho thông,trung hoc pho thong,36,thpt binh minh,93,None,-1
thpt bình minh,trung hoc pho thôngk,trung hoc pho thongk,35,thpt binh minh,93,None,-1
truong cdxd so 2,co khi va xay dung,co khi xay dung,41,cao dang xd so 2,69,None,-1
 Trường Đại học Ngoại thương,Kinh tế quốc tế,kinh te quoc te,29,dai hoc ngoai thuong,54,dai hoc ngoai thuong,100
Đại học Tôn Đức Thắng,điện tử viễn thông,dien tu vien thong,46,dai hoc ton duc thang,57,dai hoc ton duc thang,100
ĐH Kinh Tế TP.HCM,Tài Chính Công,tai chinh cong,36,dai hoc kinh te hcm,32,dai hoc kinh te   hcm,95
 Học viện Tài Chính (Academy Of Finance),Ngân hàng,ngan hang,30,hoc vien tai chinh,38,hoc vien tai chinh,100
trường trung cấp quân y 2,trường cao đẳng y tế đồng nai,cao dang y te dong nai,51,trung cap quan y 2,74,None,-1
Đại học Công Đoàn,Tài chính Ngân hàng,tai chinh ngan hang,39,dai hoc cong doan,59,dai hoc cong doan,100
 Cao Đẳng Công Thương TP Hồ Chí Minh,CNTT,cntt,0,cao dang cong thuong hcm,47,cao dang cong thuong   hcm,96
học viện ngân hàng,tài chính ngân hàng,tai chinh ngan hang,54,hoc vien ngan hang,78,hoc vien ngan hang,100
 Vietnam Commercial University,Marketing thương mại ,marketing thuong mai,28,vietnam commercial university,88,None,-1
Trường Đại học Mỏ - Địa chất,kế toán,ke toan,15,dai hoc mo dia chat,47,dai hoc mo   dia chat,95
Trường Đại học Công nghiệp Thực Phẩm TPHCM,Tài chính Kế toán,tai chinh ke toan,28,dai hoc cong nghiep thuc pham hcm,53,None,-1
Hutech university,Quản trị Nhà hàng - Khách sạn,quan tri nha hang khach san,26,hutech university,94,None,-1
đại học công nghệ,cơ khí,co khi,26,dai hoc cong nghe,71,None,-1
Học viện Ngoại Giao,Luật quốc tế,luat quoc te,13,hoc vien ngoai giao,68,hoc vien ngoai giao,100
THPT Kim Liên,Khối A1: Toán Lý Anh,khoi a1: toan ly anh,24,thpt kim lien,46,None,-1
Thể Dục Thể Thao ,Y sinh học,y sinh hoc,31,the duc the thao,55,None,-1
